date,inflation
1980-01-01,90.2
1981-01-01,101.7
1982-01-01,100.6
1983-01-01,135.0
1984-01-01,192.1
1985-01-01,226.0
1986-01-01,147.1
1987-01-01,228.3
1988-01-01,629.1
1989-01-01,1430.7
1990-01-01,2947.7
1991-01-01,432.8
1992-01-01,952.0
1993-01-01,1927.4
1994-01-01,2075.8
1995-01-01,66.0
1996-01-01,15.8
1997-01-01,6.9
1998-01-01,3.2
1999-01-01,4.9
2000-01-01,7.0
2001-01-01,6.8
2002-01-01,8.4
2003-01-01,14.7
2004-01-01,6.6
2005-01-01,6.9
2006-01-01,4.2
2007-01-01,3.6
2008-01-01,5.7
2009-01-01,4.9
2010-01-01,5.0
2011-01-01,6.6
2012-01-01,5.4
2013-01-01,6.2
2014-01-01,6.3
2015-01-01,9.0
2016-01-01,8.7
2017-01-01,3.4
2018-01-01,3.7
2019-01-01,3.7
2020-01-01,3.2
2021-01-01,8.3
2022-01-01,9.3
2023-01-01,4.7
2024-01-01,4.5
